age,marital,gender,address,income,inccat,car,carcat,ed,employ,retire,empcat,jobsat,reside,wireless,multline,voice,pager,internet,callid,callwait,owntv,ownvcr,owncd,ownpda,ownpc,ownfax,news,response
55,Married,Female,12,72,$50 - $74,36.2,Luxury,Did not complete high school,23,No,More than 15,Highly satisfied,4,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
56,Unmarried,Male,29,153,$75+,76.9,Luxury,Did not complete high school,35,No,More than 15,Somewhat satisfied,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
28,Married,Female,9,28,$25 - $49,13.7,Economy,Some college,4,No,Less than 5,Neutral,3,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
24,Married,Male,4,26,$25 - $49,12.5,Economy,College degree,0,No,Less than 5,Highly dissatisfied,3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
25,Unmarried,Male,2,23,Under $25,11.3,Economy,High school degree,5,No,5 to 15,Somewhat dissatisfied,2,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
45,Married,Male,9,76,$75+,37.2,Luxury,Some college,13,No,5 to 15,Somewhat dissatisfied,2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
42,Unmarried,Male,19,40,$25 - $49,19.8,Standard,Some college,10,No,5 to 15,Somewhat dissatisfied,1,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
35,Unmarried,f,15,57,$50 - $74,28.2,Standard,High school degree,1,No,Less than 5,Highly dissatisfied,1,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
46,Unmarried,Female,26,24,Under $25,12.2,Economy,Did not complete high school,11,No,5 to 15,Highly satisfied,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
34,Married,Male,0,89,$75+,46.1,Luxury,Some college,12,No,5 to 15,Somewhat satisfied,6,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
55,Married,Female,17,72,$50 - $74,35.5,Luxury,Some college,2,No,Less than 5,Neutral,2,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
28,Unmarried,Male,3,24,Under $25,11.8,Economy,College degree,4,No,Less than 5,Highly satisfied,1,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
31,Married,f,9,40,$25 - $49,21.3,Standard,College degree,0,No,Less than 5,Somewhat dissatisfied,4,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
42,Unmarried,Female,8,137,$75+,68.9,Luxury,Some college,3,No,Less than 5,Highly dissatisfied,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
35,Unmarried,Male,8,70,$50 - $74,34.1,Luxury,Some college,9,No,5 to 15,Somewhat satisfied,3,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
52,Married,Male,24,159,$75+,78.9,Luxury,College degree,16,No,More than 15,Highly satisfied,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
21,Married,Male,1,37,$25 - $49,18.6,Standard,Some college,0,No,Less than 5,Highly dissatisfied,7,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
32,Unmarried,Female,0,28,$25 - $49,13.7,Economy,Did not complete high school,2,No,Less than 5,Somewhat satisfied,2,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
42,Unmarried,Female,9,109,$75+,54.7,Luxury,Some college,20,No,More than 15,Neutral,1,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
40,Married,Female,12,117,$75+,58.3,Luxury,High school degree,19,No,More than 15,Highly satisfied,4,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
30,Unmarried,Male,3,23,Under $25,11.8,Economy,Did not complete high school,3,No,Less than 5,Neutral,1,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
48,Unmarried,m,14,21,Under $25,9.5,Economy,Some college,2,No,Less than 5,Neutral,1,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
39,Married,Male,17,17,Under $25,8.5,Economy,College degree,2,No,Less than 5,Neutral,5,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
42,Married,Female,5,34,$25 - $49,16.6,Standard,High school degree,13,No,5 to 15,Neutral,4,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
45,Married,Female,12,115,$75+,57.4,Luxury,Did not complete high school,27,No,More than 15,Somewhat satisfied,5,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
51,Married,Male,10,47,$25 - $49,23,Standard,Did not complete high school,9,No,5 to 15,Neutral,3,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
39,Married,Male,9,33,$25 - $49,16.3,Standard,Some college,1,No,Less than 5,Highly dissatisfied,4,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
49,Unmarried,Female,29,135,$75+,68.4,Luxury,High school degree,14,No,5 to 15,Highly satisfied,1,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
52,Unmarried,Male,20,272,$75+,74.9,Luxury,Did not complete high school,35,No,More than 15,Highly satisfied,1,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
53,Married,Male,29,41,$25 - $49,19.9,Standard,Did not complete high school,9,No,5 to 15,Somewhat satisfied,2,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
34,Unmarried,Female,10,20,Under $25,10,Economy,Some college,0,No,Less than 5,Highly dissatisfied,1,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
47,Married,Male,6,22,Under $25,11.4,Economy,Some college,7,No,5 to 15,Somewhat satisfied,2,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
58,Unmarried,Male,2,60,$50 - $74,29.7,Standard,College degree,1,No,Less than 5,Highly dissatisfied,1,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
25,Married,Female,0,58,$50 - $74,28.4,Standard,Some college,4,No,Less than 5,Somewhat dissatisfied,5,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
57,Married,Female,28,92,$75+,45.5,Luxury,High school degree,25,No,More than 15,Highly satisfied,4,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
30,Married,m,7,21,Under $25,10.5,Economy,College degree,4,No,Less than 5,Highly dissatisfied,2,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
21,Unmarried,Female,0,13,Under $25,6.3,Economy,Some college,0,No,Less than 5,Highly dissatisfied,2,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No
24,Unmarried,Female,5,24,Under $25,11.8,Economy,High school degree,2,No,Less than 5,Neutral,1,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
56,Unmarried,Female,7,213,$75+,81.7,Luxury,College degree,30,No,More than 15,Somewhat satisfied,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
24,Unmarried,Male,2,19,Under $25,9.6,Economy,High school degree,0,No,Less than 5,Neutral,1,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
41,Unmarried,Male,13,59,$50 - $74,28.6,Standard,Some college,17,No,More than 15,Neutral,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
